,ID,CITY,NICKNAME,YEARFOUNDED,YEARACTIVETILL
0,1610612737,Atlanta,Hawks,1968,2019
1,1610612737,St. Louis,Hawks,1955,1967
2,1610612737,Milwaukee,Hawks,1951,1954
3,1610612737,Tri-Cities,Blackhawks,1949,1950
4,1610612738,Boston,Celtics,1946,2019
5,1610612739,Cleveland,Cavaliers,1970,2019
6,1610612740,New Orleans,Pelicans,2013,2019
7,1610612740,New Orleans,Hornets,2007,2012
8,1610612740,New Orleans/Oklahoma City,Hornets,2005,2006
9,1610612740,New Orleans,Hornets,2002,2004
10,1610612741,Chicago,Bulls,1966,2019
11,1610612742,Dallas,Mavericks,1980,2019
12,1610612743,Denver,Nuggets,1976,2019
13,1610612744,Golden State,Warriors,1971,2019
14,1610612744,San Francisco,Warriors,1962,1970
15,1610612744,Philadelphia,Warriors,1946,1961
16,1610612745,Houston,Rockets,1971,2019
17,1610612745,San Diego,Rockets,1967,1970
18,1610612746,Los Angeles,Clippers,1984,2019
19,1610612746,San Diego,Clippers,1978,1983
20,1610612746,Buffalo,Braves,1970,1977
21,1610612747,Los Angeles,Lakers,1960,2019
22,1610612747,Minneapolis,Lakers,1948,1959
23,1610612748,Miami,Heat,1988,2019
24,1610612749,Milwaukee,Bucks,1968,2019
25,1610612750,Minnesota,Timberwolves,1989,2019
26,1610612751,Brooklyn,Nets,2012,2019
27,1610612751,New Jersey,Nets,1977,2011
28,1610612751,New York,Nets,1976,1976
29,1610612752,New York,Knicks,1946,2019
30,1610612753,Orlando,Magic,1989,2019
31,1610612754,Indiana,Pacers,1976,2019
32,1610612755,Philadelphia,76ers,1963,2019
33,1610612755,Syracuse,Nationals,1949,1962
34,1610612756,Phoenix,Suns,1968,2019
35,1610612757,Portland,Trail Blazers,1970,2019
36,1610612758,Sacramento,Kings,1985,2019
37,1610612758,Kansas City,Kings,1975,1984
38,1610612758,Kansas City-Omaha,Kings,1972,1974
39,1610612758,Cincinnati,Royals,1957,1971
40,1610612758,Rochester,Royals,1948,1956
41,1610612759,San Antonio,Spurs,1976,2019
42,1610612760,Oklahoma City,Thunder,2008,2019
43,1610612760,Seattle,SuperSonics,1967,2007
44,1610612761,Toronto,Raptors,1995,2019
45,1610612762,Utah,Jazz,1979,2019
46,1610612762,New Orleans,Jazz,1974,1978
47,1610612763,Memphis,Grizzlies,2001,2019
48,1610612763,Vancouver,Grizzlies,1995,2000
49,1610612764,Washington,Wizards,1997,2019
50,1610612764,Washington,Bullets,1974,1996
51,1610612764,Capital,Bullets,1973,1973
52,1610612764,Baltimore,Bullets,1963,1972
53,1610612764,Chicago,Zephyrs,1962,1962
54,1610612764,Chicago,Packers,1961,1961
55,1610612765,Detroit,Pistons,1957,2019
56,1610612765,Ft. Wayne Zollner,Pistons,1948,1956
57,1610612766,Charlotte,Hornets,2014,2019
58,1610612766,Charlotte,Bobcats,2004,2013
59,1610612766,Charlotte,Hornets,1988,2001
